"shop_id","shop_identifier","month","monthly_sales"
1,"major-produce-get","2025-02-01 00:00:00","4849.6"
1,"major-produce-get","2025-03-01 00:00:00","676.22"
1,"major-produce-get","2025-04-01 00:00:00","1039.1999999999998"
2,"line-strategy","2025-01-01 00:00:00","1993.58"
2,"line-strategy","2025-02-01 00:00:00","5903.69"
2,"line-strategy","2025-03-01 00:00:00","1112.75"
2,"line-strategy","2025-04-01 00:00:00","1975.8899999999999"
3,"ready-imagine","2025-01-01 00:00:00","1115.92"
3,"ready-imagine","2025-02-01 00:00:00","843.04"
3,"ready-imagine","2025-03-01 00:00:00","836.94"
4,"hair-political","2025-01-01 00:00:00","2150.7"
4,"hair-political","2025-03-01 00:00:00","1429.5"
4,"hair-political","2025-04-01 00:00:00","1429.5"
5,"tonight-but","2025-01-01 00:00:00","635.48"
5,"tonight-but","2025-04-01 00:00:00","930.36"
6,"north-energy-easy","2025-01-01 00:00:00","2579.56"
6,"north-energy-easy","2025-02-01 00:00:00","4849.6"
6,"north-energy-easy","2025-03-01 00:00:00","2319.2000000000003"
6,"north-energy-easy","2025-04-01 00:00:00","1427.7999999999997"
7,"station-break","2025-01-01 00:00:00","3406.5200000000004"
7,"station-break","2025-02-01 00:00:00","6698.51"
7,"station-break","2025-03-01 00:00:00","2960.39"
7,"station-break","2025-04-01 00:00:00","837.8499999999999"
8,"network-word","2025-01-01 00:00:00","1713.1200000000001"
8,"network-word","2025-02-01 00:00:00","575.89"
8,"network-word","2025-03-01 00:00:00","1621.37"
8,"network-word","2025-04-01 00:00:00","216.42"
9,"but-early-property","2025-01-01 00:00:00","4051.21"
9,"but-early-property","2025-02-01 00:00:00","11548.11"
9,"but-early-property","2025-03-01 00:00:00","980.3100000000002"
9,"but-early-property","2025-04-01 00:00:00","4904.629999999999"
10,"where-people-west","2025-01-01 00:00:00","3743.7"
10,"where-people-west","2025-02-01 00:00:00","2325.64"
10,"where-people-west","2025-03-01 00:00:00","1429.5"
10,"where-people-west","2025-04-01 00:00:00","3065.75"
11,"often-lead-without","2025-01-01 00:00:00","931.35"
12,"contain-manager","2025-01-01 00:00:00","1115.92"
12,"contain-manager","2025-02-01 00:00:00","2201.35"
12,"contain-manager","2025-03-01 00:00:00","4617.84"
12,"contain-manager","2025-04-01 00:00:00","3127.67"
13,"friend-over-reflect","2025-02-01 00:00:00","143.05"
14,"present-bit-drop","2025-01-01 00:00:00","865.3199999999999"
14,"present-bit-drop","2025-02-01 00:00:00","2786.25"
14,"present-bit-drop","2025-03-01 00:00:00","2351.4"
14,"present-bit-drop","2025-04-01 00:00:00","391.9"
15,"simple-through-goal","2025-01-01 00:00:00","2480.6099999999997"
15,"simple-through-goal","2025-02-01 00:00:00","3519.2999999999997"
15,"simple-through-goal","2025-04-01 00:00:00","2462.08"
16,"gas-forget-answer","2025-01-01 00:00:00","1788.4"
16,"gas-forget-answer","2025-03-01 00:00:00","2376.4"
16,"gas-forget-answer","2025-04-01 00:00:00","1637.5"
17,"cost-those-dream","2025-01-01 00:00:00","7302.78"
17,"cost-those-dream","2025-02-01 00:00:00","7043.449999999999"
17,"cost-those-dream","2025-03-01 00:00:00","1886.76"
17,"cost-those-dream","2025-04-01 00:00:00","10039.119999999999"
18,"staff-piece-good","2025-01-01 00:00:00","108.21"
18,"staff-piece-good","2025-02-01 00:00:00","432.84"
18,"staff-piece-good","2025-03-01 00:00:00","108.21"
18,"staff-piece-good","2025-04-01 00:00:00","216.42"
19,"fire-nation-appear","2025-01-01 00:00:00","816.9"
19,"fire-nation-appear","2025-02-01 00:00:00","1945.76"
19,"fire-nation-appear","2025-03-01 00:00:00","1783.47"
19,"fire-nation-appear","2025-04-01 00:00:00","411.83000000000004"
20,"mouth-kind-three","2025-01-01 00:00:00","4120.03"
20,"mouth-kind-three","2025-02-01 00:00:00","4921.6"
20,"mouth-kind-three","2025-04-01 00:00:00","2061.98"
