"id","title","avg_rating"
"P1013","Goal","2.0000000000000000"
"P1015","Create","1.00000000000000000000"
"P1002","Whose","2.0000000000000000"
"P1044","Local","2.3333333333333333"
"P1040","Middle","1.00000000000000000000"
"P1041","Indeed","2.3333333333333333"
"P1022","If","1.3333333333333333"
"P1020","Site","2.0000000000000000"
"P1001","Sometimes","2.0000000000000000"
"P1004","Speak","2.4000000000000000"
"P1030","Type","2.2500000000000000"
"P1019","Data","1.00000000000000000000"
"P1017","World","1.5000000000000000"
"P1018","Require","2.3333333333333333"
"P1009","Record","2.5000000000000000"
"P1049","Feeling","2.0000000000000000"
"P1005","Share","2.0000000000000000"
"P1034","Large","1.00000000000000000000"
"P1045","Hour","2.2500000000000000"
"P1024","Them","2.5000000000000000"
"P1026","Congress","1.3333333333333333"
